algo,obj,outliers_dist_threshold,purity,qps
BenneAcc,1,10,0.73752,186033
BenneAcc,1,20,0.73752,179849
BenneAcc,1,30,0.73752,186878
BenneAcc,1,40,0.73752,186557
BenneAcc,1,50,0.73752,182776
BenneAcc,1,60,0.73752,187033
BenneAcc,1,70,0.73752,185345
BenneAcc,1,80,0.73752,186347
BenneAcc,1,90,0.73752,185579
BenneAcc,1,100,0.73752,185472
BenneEff,2,10,0.609655,253590
BenneEff,2,20,0.609655,246154
BenneEff,2,30,0.609655,253745
BenneEff,2,40,0.609655,250565
BenneEff,2,50,0.609655,253573
BenneEff,2,60,0.609655,253299
BenneEff,2,70,0.609655,253579
BenneEff,2,80,0.609655,248454
BenneEff,2,90,0.609655,252069
BenneEff,2,100,0.609655,253508
