tag,algo,obj,queue_size_threshold,variance_threshold,outliers_num_threshold,outliers_dist_threshold,purity,qps
extra.out_dist,BenneAcc,1,10000,100,200,10,0.73752,186033
extra.out_dist,BenneAcc,1,10000,100,200,20,0.73752,179849
extra.out_dist,BenneAcc,1,10000,100,200,30,0.73752,186878
extra.out_dist,BenneAcc,1,10000,100,200,40,0.73752,186557
extra.out_dist,BenneAcc,1,10000,100,200,50,0.73752,182776
extra.out_dist,BenneAcc,1,10000,100,200,60,0.73752,187033
extra.out_dist,BenneAcc,1,10000,100,200,70,0.73752,185345
extra.out_dist,BenneAcc,1,10000,100,200,80,0.73752,186347
extra.out_dist,BenneAcc,1,10000,100,200,90,0.73752,185579
extra.out_dist,BenneAcc,1,10000,100,200,100,0.73752,185472
extra.out_dist,BenneEff,2,300000,100,200,10,0.609655,253590
extra.out_dist,BenneEff,2,300000,100,200,20,0.609655,246154
extra.out_dist,BenneEff,2,300000,100,200,30,0.609655,253745
extra.out_dist,BenneEff,2,300000,100,200,40,0.609655,250565
extra.out_dist,BenneEff,2,300000,100,200,50,0.609655,253573
extra.out_dist,BenneEff,2,300000,100,200,60,0.609655,253299
extra.out_dist,BenneEff,2,300000,100,200,70,0.609655,253579
extra.out_dist,BenneEff,2,300000,100,200,80,0.609655,248454
extra.out_dist,BenneEff,2,300000,100,200,90,0.609655,252069
extra.out_dist,BenneEff,2,300000,100,200,100,0.609655,253508
extra.out_num,BenneAcc,1,10000,100,10,50,0.73752,185245
extra.out_num,BenneAcc,1,10000,100,20,50,0.73752,184761
extra.out_num,BenneAcc,1,10000,100,30,50,0.73752,184850
extra.out_num,BenneAcc,1,10000,100,40,50,0.73752,186534
extra.out_num,BenneAcc,1,10000,100,50,50,0.73752,185160
extra.out_num,BenneAcc,1,10000,100,60,50,0.73752,186167
extra.out_num,BenneAcc,1,10000,100,70,50,0.73752,186627
extra.out_num,BenneAcc,1,10000,100,80,50,0.73752,185366
extra.out_num,BenneAcc,1,10000,100,90,50,0.73752,186011
extra.out_num,BenneAcc,1,10000,100,100,50,0.73752,186859
extra.out_num,BenneEff,2,300000,100,10,50,0.609655,267349
extra.out_num,BenneEff,2,300000,100,20,50,0.609655,266842
extra.out_num,BenneEff,2,300000,100,30,50,0.609655,268243
extra.out_num,BenneEff,2,300000,100,40,50,0.609655,265239
extra.out_num,BenneEff,2,300000,100,50,50,0.609655,265817
extra.out_num,BenneEff,2,300000,100,60,50,0.609655,265784
extra.out_num,BenneEff,2,300000,100,70,50,0.609655,266360
extra.out_num,BenneEff,2,300000,100,80,50,0.609655,267301
extra.out_num,BenneEff,2,300000,100,90,50,0.609655,268357
extra.out_num,BenneEff,2,300000,100,100,50,0.609655,262922
extra.queue,BenneAcc,1,20000,100,200,50,0.731536,192662
extra.queue,BenneAcc,1,40000,100,200,50,0.727453,184223
extra.queue,BenneAcc,1,60000,100,200,50,0.720894,176497
extra.queue,BenneAcc,1,80000,100,200,50,0.717761,164172
extra.queue,BenneAcc,1,100000,100,200,50,0.712904,165347
extra.queue,BenneEff,2,20000,100,200,50,0.649093,62731
extra.queue,BenneEff,2,40000,100,200,50,0.648469,95874.4
extra.queue,BenneEff,2,60000,100,200,50,0.64635,78508.6
extra.queue,BenneEff,2,80000,100,200,50,0.642729,94210
extra.queue,BenneEff,2,100000,100,200,50,0.638866,101770
extra.var,BenneAcc,1,10000,400,200,50,0.73752,185686
extra.var,BenneAcc,1,10000,800,200,50,0.73752,185503
extra.var,BenneAcc,1,10000,1200,200,50,0.73752,185082
extra.var,BenneAcc,1,10000,1600,200,50,0.487599,183980
extra.var,BenneAcc,1,10000,2000,200,50,0.487599,179948
extra.var,BenneAcc,1,10000,2400,200,50,0.487599,182384
extra.var,BenneAcc,1,10000,2800,200,50,0.487599,178498
extra.var,BenneAcc,1,10000,3200,200,50,0.544682,176186
extra.var,BenneAcc,1,10000,3600,200,50,0.567682,177051
extra.var,BenneAcc,1,10000,4000,200,50,0.575918,181146
extra.var,BenneEff,2,300000,400,200,50,0.609655,268309
extra.var,BenneEff,2,300000,800,200,50,0.609655,266599
extra.var,BenneEff,2,300000,1200,200,50,0.609655,267890
extra.var,BenneEff,2,300000,1600,200,50,0.609655,266167
extra.var,BenneEff,2,300000,2000,200,50,0.609655,265391
extra.var,BenneEff,2,300000,2400,200,50,0.609655,265212
extra.var,BenneEff,2,300000,2800,200,50,0.609655,266339
extra.var,BenneEff,2,300000,3200,200,50,0.609655,266985
extra.var,BenneEff,2,300000,3600,200,50,0.609655,267654
extra.var,BenneEff,2,300000,4000,200,50,0.609655,266556
