Algorithm,1,2,3,4,5
EDMStream,0.209038,0.174567,0.125054,0.101116,0.077992
DStream,0.0681961,0.0454854,0.038889,0.0355139,0.0335939
DenStream,0.0802038,0.0540643,0.0448455,0.046071,0.0423997
Birch,0.125416,0.115232,0.111233,0.110678,0.103196
CluStream,0.0235043,0.023511,0.0235265,0.0235013,0.0234938
StreamKMeans,0.698325,0.53679,0.427906,0.349263,0.305096
SLKMeans,0.0681952,0.0454859,0.0388889,0.0355137,0.0335938
DBStream,0.0681958,0.0645682,0.0495493,0.035514,0.0400907
BenneEff,0.0681978,0.220231,0.316213,0.326502,0.358198
BenneAcc,0.953624,0.780027,0.845763,0.885733,0.907169
G16,0.0681973,0.045486,0.0388888,0.035514,0.033594
BenneAccNoMig,0.95362,0.51681,0.676474,0.755162,0.79705
