Algorithm,1,2,3,4,5
EDMStream,14841.9,15061.9,14624.2,14064.8,13673.5
DStream,327977,316820,267870,221292,166385
DenStream,415516,414179,443540,423668,429615
Birch,135887,124836,123360,119113,117668
CluStream,5477.54,8244.01,9451.51,10075.4,10861.3
StreamKMeans,119202,127046,130675,133350,130193
SLKMeans,6541.39,6037.46,5737.99,5323.42,5026.98
DBStream,540121,641369,587076,652328,707635
BenneEff,724177,615733,639148,609626,518091
BenneAcc,114070,8721.89,4435.87,3147.19,4596.27
G16,668037,645794,613248,828575,1038640
BenneAccNoMig,91942.3,9185.85,4115.37,3879.6,4663.5
