workload,algo,num_points,purity,qps
KDD99_F,Birch,48984,0.999918,500170
KDD99_F,Birch,97968,0.795035,479168
KDD99_F,Birch,146952,0.748469,462361
KDD99_F,Birch,195936,0.810739,434071
KDD99_F,Birch,244920,0.847689,398349
KDD99_F,Birch,293904,0.86993,352535
KDD99_F,Birch,342888,0.888509,304064
KDD99_F,Birch,391872,0.902445,269132
KDD99_F,Birch,440856,0.861209,236918
KDD99_F,Birch,489840,0.775088,214200
KDD99_F,Birch,538824,0.765844,214504
KDD99_F,Birch,587808,0.733743,219981
KDD99_F,Birch,636792,0.757298,222286
KDD99_F,Birch,685776,0.781208,211742
KDD99_F,Birch,734760,0.777297,221154
KDD99_F,Birch,783744,0.6643,223801
KDD99_F,Birch,832728,0.603192,215500
KDD99_F,Birch,881712,0.623512,207650
KDD99_F,Birch,930696,0.604265,198304
KDD99_F,Birch,979680,0.574052,192239
KDD99_F,Birch,1028664,0.76019,201608
KDD99_F,Birch,1077648,0.563472,204823
KDD99_F,Birch,1126632,0.594607,203047
KDD99_F,Birch,1175616,0.770528,177481
KDD99_F,Birch,1224600,0.795505,198663
KDD99_F,Birch,1273584,0.812441,191510
KDD99_F,Birch,1322568,0.667184,186060
KDD99_F,Birch,1371552,0.65092,189053
KDD99_F,Birch,1420536,0.633188,180947
KDD99_F,Birch,1469520,0.606724,185899
KDD99_F,Birch,1518504,0.808699,178167
KDD99_F,Birch,1567488,0.814677,192955
KDD99_F,Birch,1616472,0.820294,186985
KDD99_F,Birch,1665456,0.82558,186699
KDD99_F,Birch,1714440,0.830564,203603
KDD99_F,Birch,1763424,0.835271,208337
KDD99_F,Birch,1812408,0.839723,213707
KDD99_F,Birch,1861392,0.84394,221539
KDD99_F,Birch,1910376,0.847941,220080
KDD99_F,Birch,1959360,0.851743,228529
KDD99_F,Birch,2008344,0.855359,226428
KDD99_F,Birch,2057328,0.858803,220090
KDD99_F,Birch,2106312,0.862086,242390
KDD99_F,Birch,2155296,0.865221,237598
KDD99_F,Birch,2204280,0.868216,246910
KDD99_F,Birch,2253264,0.871081,251828
KDD99_F,Birch,2302248,0.873824,257688
KDD99_F,Birch,2351232,0.876452,254095
KDD99_F,Birch,2400216,0.878974,261564
KDD99_F,Birch,2449200,0.881394,257900
KDD99_F,Birch,2498184,0.88372,272535
KDD99_F,Birch,2547168,0.885956,275842
KDD99_F,Birch,2596152,0.888108,280239
KDD99_F,Birch,2645136,0.89018,281447
KDD99_F,Birch,2694120,0.892177,287934
KDD99_F,Birch,2743104,0.894102,281348
KDD99_F,Birch,2792088,0.89596,293200
KDD99_F,Birch,2841072,0.897754,286493
