workload,algo,obj,num_points,purity,qps,sum_us,mig_us,det_us,first_algo,final_algo,change_count,change_log
KDD99_F,G16,0,50000,0.99992,484128,103278,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,250000,0.850784,506221,493855,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,450000,0.843709,452657,994129,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,650000,0.790888,272779,2382884,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,850000,0.824838,240662,3531921,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,1050000,0.737375,245137,4283323,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,1250000,0.777787,204336,6117383,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,1450000,0.73587,213102,6804260,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,1650000,0.674202,204865,8054092,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,1850000,0.634799,222725,8306197,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,2050000,0.670429,217320,9433094,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,2250000,0.699724,228918,9828828,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,2450000,0.724236,228281,10732372,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,2650000,0.745049,246134,10766485,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,2850000,0.76294,262982,10837234,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,3050000,0.778485,264589,11527304,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,3250000,0.792117,258020,12595926,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,3450000,0.783945,287171,12013755,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,3650000,0.79451,253008,14426424,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,3850000,0.802684,221948,17346372,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,4050000,0.811366,223903,18088153,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,4250000,0.818479,213127,19941183,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,4450000,0.826637,207363,21459908,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,4650000,0.818869,194132,23952765,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,4850000,0.824261,194872,24888154,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,G16,0,4898431,0.819935,192996,25380996,NULL,NULL,NULL,NULL,NULL,NULL
KDD99_F,Benne,1,50000,0.99992,71220.6,702044,7,8472,2140,40,1,2140@0;40@10000;
KDD99_F,Benne,1,250000,0.99274,66544.7,3756870,131,53011,2140,40,3,2140@0;40@10000;140@90008;40@120011;
KDD99_F,Benne,1,450000,0.843709,56089.7,8022865,446,97033,2140,140,4,2140@0;40@10000;140@90008;40@120011;140@440043;
KDD99_F,Benne,1,650000,0.777748,70927.9,9164237,682,146253,2140,140,8,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;
KDD99_F,Benne,1,850000,0.962099,73107.6,11626693,475,183617,2140,40,9,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;
KDD99_F,Benne,1,1050000,0.840736,76562.6,13714261,596,233253,2140,40,11,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;
KDD99_F,Benne,1,1250000,0.669495,89505.5,13965618,735,269728,2140,140,12,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;
KDD99_F,Benne,1,1450000,0.881206,86968.7,16672661,1392,320858,2140,40,17,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;
KDD99_F,Benne,1,1650000,0.715799,91873.5,17959485,1164,361811,2140,140,18,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;
KDD99_F,Benne,1,1850000,0.74549,108345,17075088,870,404957,2140,140,18,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;
KDD99_F,Benne,1,2050000,0.763795,118771,17260075,910,442211,2140,140,18,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;
KDD99_F,Benne,1,2250000,0.779181,127532,17642605,873,494278,2140,140,18,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;
KDD99_F,Benne,1,2450000,0.792013,138339,17710152,858,535252,2140,140,18,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;
KDD99_F,Benne,1,2650000,0.804596,147897,17917930,914,570999,2140,140,18,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;
KDD99_F,Benne,1,2850000,0.817521,156600,18199255,1031,624094,2140,140,18,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;
KDD99_F,Benne,1,3050000,0.828934,164967,18488531,874,669116,2140,140,18,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;
KDD99_F,Benne,1,3250000,0.838988,176130,18452255,838,704265,2140,140,18,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;
KDD99_F,Benne,1,3450000,0.931664,162436,21239172,1288,757587,2140,40,19,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;40@3400339;
KDD99_F,Benne,1,3650000,0.612451,179668,20315248,964,799811,2140,140,22,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;40@3400339;140@3470346;40@3590358;140@3600359;
KDD99_F,Benne,1,3850000,0.806396,182296,21119461,996,837170,2140,140,24,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;40@3400339;140@3470346;40@3590358;140@3600359;40@3670366;140@3700369;
KDD99_F,Benne,1,4050000,0.777413,188031,21539045,1060,884523,2140,140,26,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;40@3400339;140@3470346;40@3590358;140@3600359;40@3670366;140@3700369;40@3930392;140@3950394;
KDD99_F,Benne,1,4250000,0.780245,196991,21574640,1017,927760,2140,140,26,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;40@3400339;140@3470346;40@3590358;140@3600359;40@3670366;140@3700369;40@3930392;140@3950394;
KDD99_F,Benne,1,4450000,0.790033,205504,21654092,1009,976196,2140,140,26,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;40@3400339;140@3470346;40@3590358;140@3600359;40@3670366;140@3700369;40@3930392;140@3950394;
KDD99_F,Benne,1,4650000,0.784824,194544,23901988,1228,1013716,2140,140,30,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;40@3400339;140@3470346;40@3590358;140@3600359;40@3670366;140@3700369;40@3930392;140@3950394;40@4460445;140@4570456;40@4580457;140@4590458;
KDD99_F,Benne,1,4850000,0.984167,191191,25367281,1127,1048478,2140,40,31,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;40@3400339;140@3470346;40@3590358;140@3600359;40@3670366;140@3700369;40@3930392;140@3950394;40@4460445;140@4570456;40@4580457;140@4590458;40@4770476;
KDD99_F,Benne,1,4898431,0.931988,187650,26104121,1176,1060437,2140,40,33,2140@0;40@10000;140@90008;40@120011;140@440043;40@470046;140@480047;40@500049;140@530052;40@730072;140@920091;40@1020101;140@1070106;40@1270126;140@1280127;40@1350134;140@1430142;40@1440143;140@1480147;40@3400339;140@3470346;40@3590358;140@3600359;40@3670366;140@3700369;40@3930392;140@3950394;40@4460445;140@4570456;40@4580457;140@4590458;40@4770476;140@4850484;40@4870486;
KDD99_F,Benne,2,50000,0.99992,699126,71517,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,250000,0.850784,704528,354847,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,450000,0.843709,629239,715149,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,650000,0.790888,348615,1864521,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,850000,0.824838,307579,2763515,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,1050000,0.737375,338999,3097357,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,1250000,0.777787,267593,4671280,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,1450000,0.73441,278195,5212163,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,1650000,0.673986,306990,5374761,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,1850000,0.634597,332014,5572052,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,2050000,0.670246,360127,5692428,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,2250000,0.699558,387465,5806980,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,2450000,0.724084,411167,5958645,0,0,1412,1412,0,1412@0;
KDD99_F,Benne,2,2650000,0.744908,401145,6606092,0,0,1412,1412,0,1412@0;
