obj,queue_size_threshold,variance_threshold,outliers_num_threshold,purity,qps
1,10000,400,200,0.73752,185686
1,10000,800,200,0.73752,185503
1,10000,1200,200,0.73752,185082
1,10000,1600,200,0.487599,183980
1,10000,2000,200,0.487599,179948
1,10000,2400,200,0.487599,182384
1,10000,2800,200,0.487599,178498
1,10000,3200,200,0.544682,176186
1,10000,3600,200,0.567682,177051
1,10000,4000,200,0.575918,181146
2,300000,400,200,0.609655,268309
2,300000,800,200,0.609655,266599
2,300000,1200,200,0.609655,267890
2,300000,1600,200,0.609655,266167
2,300000,2000,200,0.609655,265391
2,300000,2400,200,0.609655,265212
2,300000,2800,200,0.609655,266339
2,300000,3200,200,0.609655,266985
2,300000,3600,200,0.609655,267654
2,300000,4000,200,0.609655,266556
