obj,queue_size_threshold,variance_threshold,outliers_num_threshold,purity,qps
1,10000,100,10,0.73752,185245
1,10000,100,20,0.73752,184761
1,10000,100,30,0.73752,184850
1,10000,100,40,0.73752,186534
1,10000,100,50,0.73752,185160
1,10000,100,60,0.73752,186167
1,10000,100,70,0.73752,186627
1,10000,100,80,0.73752,185366
1,10000,100,90,0.73752,186011
1,10000,100,100,0.73752,186859
2,300000,100,10,0.609655,267349
2,300000,100,20,0.609655,266842
2,300000,100,30,0.609655,268243
2,300000,100,40,0.609655,265239
2,300000,100,50,0.609655,265817
2,300000,100,60,0.609655,265784
2,300000,100,70,0.609655,266360
2,300000,100,80,0.609655,267301
2,300000,100,90,0.609655,268357
2,300000,100,100,0.609655,262922
1,20000,100,200,0.731536,192662
1,40000,100,200,0.727453,184223
1,60000,100,200,0.720894,176497
1,80000,100,200,0.717761,164172
1,100000,100,200,0.712904,165347
2,20000,100,200,0.649093,62731
2,40000,100,200,0.648469,95874.4
2,60000,100,200,0.64635,78508.6
2,80000,100,200,0.642729,94210
2,100000,100,200,0.638866,101770
1,10000,400,200,0.73752,185686
1,10000,800,200,0.73752,185503
1,10000,1200,200,0.73752,185082
1,10000,1600,200,0.487599,183980
1,10000,2000,200,0.487599,179948
1,10000,2400,200,0.487599,182384
1,10000,2800,200,0.487599,178498
1,10000,3200,200,0.544682,176186
1,10000,3600,200,0.567682,177051
1,10000,4000,200,0.575918,181146
2,300000,400,200,0.609655,268309
2,300000,800,200,0.609655,266599
2,300000,1200,200,0.609655,267890
2,300000,1600,200,0.609655,266167
2,300000,2000,200,0.609655,265391
2,300000,2400,200,0.609655,265212
2,300000,2800,200,0.609655,266339
2,300000,3200,200,0.609655,266985
2,300000,3600,200,0.609655,267654
2,300000,4000,200,0.609655,266556
0,3000000,100,200,0.850784,506221
0,3000000,100,200,0.783945,287171
0,3000000,100,200,0.674202,204865
0,3000000,100,200,0.634799,222725
0,3000000,100,200,0.670429,217320
0,3000000,100,200,0.699724,228918
0,3000000,100,200,0.724236,228281
0,3000000,100,200,0.745049,246134
0,3000000,100,200,0.76294,262982
0,3000000,100,200,0.778485,264589
0,3000000,100,200,0.792117,258020
0,3000000,100,200,0.99992,484128
0,3000000,100,200,0.79451,253008
0,3000000,100,200,0.802684,221948
0,3000000,100,200,0.811366,223903
0,3000000,100,200,0.818479,213127
0,3000000,100,200,0.826637,207363
0,3000000,100,200,0.818869,194132
0,3000000,100,200,0.824261,194872
0,3000000,100,200,0.819935,192996
0,3000000,100,200,0.824838,240662
0,3000000,100,200,0.777787,204336
0,3000000,100,200,0.737375,245137
0,3000000,100,200,0.790888,272779
0,3000000,100,200,0.843709,452657
0,3000000,100,200,0.73587,213102
1,10000,100,200,0.843709,56089.7
1,10000,100,200,0.99274,66544.7
1,10000,100,200,0.777748,70927.9
1,10000,100,200,0.792013,138339
1,10000,100,200,0.962099,73107.6
1,10000,100,200,0.840736,76562.6
1,10000,100,200,0.669495,89505.5
1,10000,100,200,0.99992,71220.6
1,10000,100,200,0.881206,86968.7
1,10000,100,200,0.931988,187650
1,10000,100,200,0.715799,91873.5
1,10000,100,200,0.784824,194544
1,10000,100,200,0.984167,191191
1,10000,100,200,0.804596,147897
1,10000,100,200,0.817521,156600
1,10000,100,200,0.828934,164967
1,10000,100,200,0.779181,127532
1,10000,100,200,0.838988,176130
1,10000,100,200,0.763795,118771
1,10000,100,200,0.612451,179668
1,10000,100,200,0.806396,182296
1,10000,100,200,0.74549,108345
1,10000,100,200,0.777413,188031
1,10000,100,200,0.780245,196991
1,10000,100,200,0.790033,205504
1,10000,100,200,0.931664,162436
2,3000000,100,200,0.724084,411167
2,3000000,100,200,0.699558,387465
2,3000000,100,200,0.670246,360127
2,3000000,100,200,0.634597,332014
2,3000000,100,200,0.673986,306990
2,3000000,100,200,0.73441,278195
2,3000000,100,200,0.777787,267593
2,3000000,100,200,0.737375,338999
2,3000000,100,200,0.824838,307579
2,3000000,100,200,0.790888,348615
2,3000000,100,200,0.843709,629239
2,3000000,100,200,0.850784,704528
2,3000000,100,200,0.99992,699126
2,3000000,100,200,0.744908,401145
2,3000000,100,200,0.762809,455479
2,3000000,100,200,0.619527,416806
2,3000000,100,200,0.642941,435168
2,3000000,100,200,0.647955,416200
2,3000000,100,200,0.914561,386676
2,3000000,100,200,0.907118,481316
2,3000000,100,200,0.905116,504552
2,3000000,100,200,0.909581,498318
2,3000000,100,200,0.913645,532858
2,3000000,100,200,0.978427,369777
2,3000000,100,200,0.978595,269495
2,3000000,100,200,0.978756,252546
3,10000,100,200,0.575281,16361
3,10000,100,200,0.52635,24921.4
3,10000,100,200,0.99992,71176.1
3,10000,100,200,0.850784,56614.6
3,10000,100,200,0.843709,47421.9
3,10000,100,200,0.805872,48364.7
3,10000,100,200,0.609491,41624.3
3,10000,100,200,0.568783,40132.2
3,10000,100,200,0.511863,35887.7
3,10000,100,200,0.483882,31693.9
3,10000,100,200,0.431677,29781.7
3,10000,100,200,0.385009,28014.4
3,10000,100,200,0.433931,26614.6
3,10000,100,200,0.484248,26036.9
3,10000,100,200,0.579445,15972.3
3,10000,100,200,0.562097,24180.4
3,10000,100,200,0.592827,23992.2
3,10000,100,200,0.619527,23217
3,10000,100,200,0.642941,23244.5
3,10000,100,200,0.651092,22649
3,10000,100,200,0.615452,21717.6
3,10000,100,200,0.589752,21050.5
3,10000,100,200,0.583491,19862.1
3,10000,100,200,0.603091,19270.3
3,10000,100,200,0.62093,18614.3
3,10000,100,200,0.596109,17415.8
