obj,workload,purity,qps
Birch,CoverType,0.562229,234011
StreamKMeans,CoverType,0.489109,23582.4
CluStream,CoverType,0.487599,25090.5
DenStream,CoverType,0.548178,9332.29
DBStream,CoverType,0.487599,83321.5
EDMStream,CoverType,0.512048,235362
DStream,CoverType,0.493124,32943.7
SLKMeans,CoverType,0.493613,15377.6
1,CoverType,0.73752,177986
2,CoverType,0.521301,258513
Birch,KDD99,0.941589,336923
StreamKMeans,KDD99,0.581972,30114
CluStream,KDD99,0.573222,20052
DenStream,KDD99,0.969101,16533.6
DBStream,KDD99,0.724066,255634
EDMStream,KDD99,0.957839,377695
DStream,KDD99,0.960606,428646
SLKMeans,KDD99,0.645238,1113.9
1,KDD99,0.991557,21811
2,KDD99,0.978756,250873
Birch,sensor,0.0300351,548385
StreamKMeans,sensor,0.0693233,76892
CluStream,sensor,0.0295923,81245.5
DenStream,sensor,0.0638467,44049.7
DBStream,sensor,0.0401955,57970.6
EDMStream,sensor,0.0782214,45145.2
DStream,sensor,0.0295941,265573
SLKMeans,sensor,0.0295923,79028.6
1,sensor,0.202618,169538
2,sensor,0.0337926,1235320
Birch,INSECTS,0.188058,869312
StreamKMeans,INSECTS,0.488874,20317.4
CluStream,INSECTS,0.188058,20066.8
DenStream,INSECTS,0.51571,148987
DBStream,INSECTS,0.425394,885.898
EDMStream,INSECTS,0.500077,314928
DStream,INSECTS,0.188058,140790
SLKMeans,INSECTS,0.316064,9701.76
1,INSECTS,0.562919,179077
2,INSECTS,0.188058,1081360
