obj,queue_size_threshold,variance_threshold,outliers_num_threshold,purity,qps
1,10000,100,10,0.73752,185245
1,10000,100,20,0.73752,184761
1,10000,100,30,0.73752,184850
1,10000,100,40,0.73752,186534
1,10000,100,50,0.73752,185160
1,10000,100,60,0.73752,186167
1,10000,100,70,0.73752,186627
1,10000,100,80,0.73752,185366
1,10000,100,90,0.73752,186011
1,10000,100,100,0.73752,186859
2,300000,100,10,0.609655,267349
2,300000,100,20,0.609655,266842
2,300000,100,30,0.609655,268243
2,300000,100,40,0.609655,265239
2,300000,100,50,0.609655,265817
2,300000,100,60,0.609655,265784
2,300000,100,70,0.609655,266360
2,300000,100,80,0.609655,267301
2,300000,100,90,0.609655,268357
2,300000,100,100,0.609655,262922
