Algorithm,1,2,3,4,5
Birch,0.124621,0.114734,0.123622,0.1095,0.102162
StreamKMeans,0.944825,0.853204,0.81493,0.741747,0.730585
CluStream,0.0235043,0.023511,0.0235265,0.0235013,0.0234938
DenStream,0.0235043,0.023511,0.0235265,0.0235013,0.0234938
DBStream,0.0235043,0.023511,0.0235265,0.0235013,0.0234938
EDMStream,0.119441,0.0714388,0.0546635,0.0472582,0.0431383
DStream,0.0235043,0.023511,0.0235265,0.0235013,0.0234938
SLKMeans,0.067999,0.0453548,0.0388112,0.0354578,0.0335445
G1,0.833297,0.839811,0.848273,0.851012,0.853568
G2,0.0235043,0.023511,0.0235265,0.0235013,0.0234938
G3,0.834239,0.839997,0.848218,0.851246,0.853583
G4,0.452505,0.261168,0.197962,0.167792,0.149749
G5,0.757536,0.638059,0.563685,0.506147,0.484104
G6,0.124558,0.114803,0.123765,0.109531,0.102265
G7,0.433183,0.466251,0.398539,0.342081,0.297227
G8,0.965811,0.974256,0.976507,0.976725,0.976611
G9,0.0235043,0.023511,0.0235265,0.0235013,0.0234938
G10,0.245815,0.1866,0.19398,0.217867,0.207925
StreamKMeans,0.944825,0.853204,0.81493,0.741747,0.730585
SLKMeans,0.067999,0.0453548,0.0388112,0.0354578,0.0335445
G7,0.633183,0.616251,0.608539,0.612081,0.607227
G7,0.944239,0.939997,0.918218,0.901246,0.883583


