algo,alpha,lambda,purity,qps
G5,1.1,0.2,0.562975,31293.3
G5,1.1,0.4,0.473123,29644.7
G5,1.1,0.6,0.434272,29384.1
G5,1.1,0.8,0.396967,28945.8
G5,1.1,1,0.375977,28936.4
G5,1.1,1.2,0.332018,28661.8
G5,1.1,1.4,0.329804,28342.6
G5,1.1,1.6,0.296061,28336.3
G5,1.1,1.8,0.277861,28215.7
G5,1.1,2,0.283908,28181.5
G5,1.1,0.5,0.448522,29570.6
G5,1.3,0.5,0.324883,28378.2
G5,1.5,0.5,0.272092,28140.5
G5,1.7,0.5,0.225731,27986.3
G5,1.9,0.5,0.20636,27745.5
G5,2.1,0.5,0.174126,28176
G5,2.3,0.5,0.166258,28113.9
G5,2.5,0.5,0.158768,28032.4
G5,2.7,0.5,0.147254,28084.9
