Algorithm,1,2,3
Birch,0.140681,0.136216,0.13739
StreamKMeans,0.86458,0.830218,0.82121
CluStream,0.0292564,0.0542317,0.0792
DenStream,0.0292564,0.0542317,0.0792
DBStream,0.0292564,0.0542317,0.0792
EDMStream,0.0672961,0.0542317,0.0792
DStream,0.0292564,0.0542317,0.0792
SLKMeans,0.0292564,0.0542317,0.0792
G1,0.731739,0.712993,0.69741
G2,0.0292564,0.0542317,0.0792
G3,0.731739,0.712993,0.69741
G4,0.701506,0.684008,0.66519
G5,0.766076,0.739647,0.68
G6,0.140681,0.136216,0.13739
G7,0.546017,0.534316,0.51996
G8,0.921205,0.897679,0.88279
G9,0.0292564,0.0542317,0.0792
G10,0.256709,0.237305,0.25445
