Algorithm,CoverType,KDD99,Sensor,Insects,EDS,ODS
Birch,6,18,5,9,10,5
StreamKMeans,7,23,55,24,363,363
CluStream,13747,3156,9284,48664,135,2310
DenStream,514,417,384,2,22,21
DBStream,3,73,6,258,2,107
EDMStream,418,633,1120,65,21,685
DStream,11,13,1,363,59,3
SLKMeans,1,1,1,3,1,1
G1,70,454,1399,102,588,207
G2,70,454,1399,102,588,207
G3,70,454,1399,102,588,207
G4,5,126,45,18,48,217
G5,1872,535,1294,49,651,291
G6,6,16,35,9,10,5
G7,38,34,1272,18,116,157
G8,244,487,1258,4664,2280,1000
G9,48,1,7,62,7,3
G10,1517,1354,244,493,850,1078
