Algorithm,25k/s,50k/s,100k/s,200k/s
Birch,24956.9,49864.3,99479.3,116242
StreamKMeans,24656.9,48649.1,90451.9,90404.9
CluStream,11579.2,11646.1,11669.6,11675.1
DenStream,24967.3,49864.9,99476.7,197926
DBStream,24965.8,49862.1,99509.1,197990
EDMStream,14420.5,14395.7,14672.1,14189.5
DStream,24965.2,49861.8,74992.5,75592
SLKMeans,5245.62,5248.92,5252.59,5253.45
G1,24970.7,49864.9,99476.6,197967
G2,24956,49862.4,99461.3,198033
G3,24971,49862.3,99460.7,198008
G4,4823.62,4828.66,4829.33,4827.93
G5,18146.3,20448.3,20987.6,21110
G6,24969.6,49865.8,99493.3,197995
G7,24966.7,49855.1,99469.8,197973
G8,24967,49872.7,99471.7,197986
G9,24966.2,49843.3,99400,197703
G10,24965.3,49864.5,99464,198102
G11,24968,49864.2,99504,197947
G12,24971.1,49874.4,99495,197988
G13,24966.6,49873.7,99479.6,198015
G14,24967.6,49864,99472.6,141318
G15,24954,49824.6,69479.6,69367.6
