Algorithm,1,2,3,4,5
Birch,0.124827,0.114735,0.110698,0.110185,0.10279
StreamKMeans,0.94454,0.853062,0.815131,0.74167,0.730717
CluStream,0.0235043,0.023511,0.0235265,0.0235013,0.0234938
DenStream,0.0796742,0.0538214,0.0446897,0.0459112,0.0422921
DBStream,0.0679596,0.064347,0.0494488,0.0354576,0.0400278
EDMStream,0.208542,0.174139,0.124814,0.100914,0.0778503
DStream,NULL,NULL,NULL,NULL,NULL
SLKMeans,0.0679857,0.0453909,0.0388114,0.035457,0.0335323
G1,0.884328,0.870764,0.835954,0.814409,0.80479
G2,0.884465,0.870296,0.835076,0.814022,0.804243
G3,0.83551,0.830739,0.831103,0.828719,0.826371
G4,0.0679237,0.0453501,0.0388056,0.0354647,0.0335396
G5,0.105041,0.0683491,0.0521486,0.0453399,0.0415969
G6,0.878678,0.882894,0.876491,0.873299,0.876675
G7,0.850593,0.874245,0.875234,0.873573,0.870137
G8,0.722811,0.756833,0.757857,0.762699,0.760011
G9,0.0798465,0.0588883,0.0487814,0.046535,0.0467563
G10,0.546408,0.56745,0.571456,0.561292,0.563275
G11,0.860027,0.852119,0.842628,0.842621,0.838412
G12,0.885191,0.894795,0.89449,0.887503,0.891121
G13,0.927429,0.926627,0.923652,0.922608,0.924154
G14,0.531841,0.468111,0.347236,0.293796,0.248176
G15,0.483967,0.529591,0.520764,0.531369,0.524329
