Algorithm,1,2,3
Birch,0.176983,0.171423,0.166801
StreamKMeans,0.876318,0.841985,0.824849
CluStream,0.0456014,0.075892,0.100288
DenStream,0.0456014,0.075892,0.100288
DBStream,0.0456014,0.075892,0.100288
EDMStream,0.083342,0.075892,0.100288
DStream,0.0456014,0.075892,0.100288
SLKMeans,0.0551122,0.0533568,0.051918
G1,0.758245,0.737887,0.718916
G2,0.0456014,0.075892,0.100288
G3,0.757741,0.737671,0.719046
G4,0.729217,0.710561,0.690859
G6,0.176987,0.171519,0.166805
G7,0.573884,0.560165,0.544852
G8,0.927963,0.89735,0.873956
G9,0.0456014,0.075892,0.100288
G10,0.267418,0.255384,0.272007
G5,0.787799,0.760712,0.745828
