Algorithm,1,2,3,4,5
Birch,0.918026,0.882163,0.890032,0.904388,0.904655
StreamKMeans,0.690153,0.738273,0.733659,0.728438,0.711485
CluStream,0.0235043,0.023511,0.0235265,0.0235013,0.0234938
DenStream,0.0235043,0.023511,0.0235265,0.0235013,0.0234938
DBStream,0.0235043,0.023511,0.0235265,0.0235013,0.0234938
EDMStream,0.160213,0.130284,0.0979547,0.0780179,0.0649197
DStream,0.0235043,0.023511,0.0235265,0.0235013,0.0234938
SLKMeans,0.0680214,0.0453832,0.0388212,0.0354361,0.033552
G1,0.0456026,0.0314746,0.0288172,0.0274967,0.0267454
G2,0.0235043,0.023511,0.0235265,0.0235013,0.0234938
G3,0.833487,0.839716,0.847778,0.85065,0.85357
G4,0.452565,0.261004,0.198096,0.167779,0.149747
G5,0.757407,0.638379,0.564154,0.506225,0.484282
G6,0.124306,0.114534,0.123867,0.109433,0.102281
G7,0.432473,0.466326,0.399204,0.341834,0.297628
G8,0.965479,0.974167,0.97644,0.9767,0.97662
G9,0.0679411,0.0453623,0.0388251,0.0354397,0.0335298
G10,0.376872,0.37471,0.364558,0.419236,0.407228
