algo,alpha,lambda,purity,qps
G5,1.1,0.2,0.00718392,736939
G5,1.1,0.4,0.00718392,745556
G5,1.1,0.6,0.00718392,737596
G5,1.1,0.8,0.00718392,724803
G5,1.1,1,0.00718392,749125
G5,1.1,1.2,0.00718392,756679
G5,1.1,1.4,0.00718392,742637
G5,1.1,1.6,0.00718392,740368
G5,1.1,1.8,0.00718392,738655
G5,1.1,2,0.00718392,743487
G5,1.1,0.5,0.00718392,757581
G5,1.3,0.5,0.00718392,744513
G5,1.5,0.5,0.00718392,723488
G5,1.7,0.5,0.00718392,739903
G5,1.9,0.5,0.00718392,751195
G5,2.1,0.5,0.00718392,745485
G5,2.3,0.5,0.00718392,741297
G5,2.5,0.5,0.00718392,733265
G5,2.7,0.5,0.00718392,741672
