Algorithm,WindowModel,OutlierDetection,DataStructure,OfflineRefinement
G1,0.0001,4.4328,4.2799,0.0000
G2,0.0001,4.2946,4.3209,0.0072
G3,0.0001,4.2862,4.3215,0.0000
G4,0.0569,0.4219,0.1313,0.0000
G5,0.0174,21.3894,0.3257,0.0001
G6,0.0001,0.0213,10.1021,0.0000
G7,0.0002,0.0483,2.4478,0.0001
G8,0.0000,0.2214,0.9199,0.0000
G9,0.0146,0.0000,0.6114,0.0000
G10,0.0165,0.1889,31.9902,0.0001
G11,0.0001,5.0171,4.9687,0.0001
G12,0.0002,10.9921,11.1585,0.0002
G13,0.0012,9.9607,10.0315,0.0005
G14,0.0340,0.0242,2.2877,0.0000
G15,0.0000,0.0239,5.5239,0.0000
