Algorithm,WindowModel,OutlierDetection,DataStructure,OfflineRefinement
Birch,0,0.1509,8.9463,0.0000
StreamKMeans,0,0.0000,43.3348,0.0070
DenStream,0.274727,0.0219,0.2877,0.0000
DBStream,227.719335,9.8891,3.7874,737.2149
EDMStream,0.058222,3.2613,3.3818,0.0000
DStream,0.000149,0.0000,2.5481,0.0005
SLKMeans,2.709103,0.0000,343.5755,0.0013
G1,0,0.4480,0.0351,0.0000
G2,0,0.4514,0.0352,0.0001
G3,0,0.4536,0.0351,0.0001
G4,0.364738,0.4421,2.1481,0.0000
G5,0.022272,0.4429,0.1963,0.0000
G6,0,0.1496,10.9069,0.0000
G7,0,1.1256,0.0059,0.0000
G8,0,348.7597,162.7325,0.0033
G9,0,0.1037,0.1057,0.0001
G10,0,1.3708,159.6960,0.0005
CluStream,0,0.0000,11.6666,0.6312
