Algorithm,WindowModel,OutlierDetection,DataStructure,OfflineRefinement
G1,0.0001,1.4545,1.7553,0.0001
G2,0.0001,1.4933,1.7708,0.0143
G3,0.0002,2.7642,3.0467,0.0001
G4,0.7728,1.3817,0.7086,0.0000
G5,0.1151,7.6490,7.8994,0.0000
G6,0.0001,0.1205,8.8947,0.0000
G7,0.0005,3.6258,1.6154,0.0001
G8,0.0052,1.3882,1.6810,0.0010
G9,0.1292,0.0000,2.4238,0.0140
G10,0.1384,0.2540,1.9471,0.0000
G11,0.0002,2.9988,3.3255,0.0001
G12,0.0019,2.9300,3.2296,0.0003
G13,0.0015,3.2244,3.5669,0.0003
G14,0.3102,0.1963,8.9446,0.0000
G15,0.0002,0.2027,40.8684,0.0001
