Algorithm,WindowModel,OutlierDetection,DataStructure,OfflineRefinement
Birch,0.0000,0.0508,3.1624,0.0000
StreamKMeans,0.0000,0.0000,28.8147,0.0059
CluStream,0.0000,0.0000,35.1602,0.2048
DenStream,0.6408,2.6015,32.7883,0.0031
DBStream,36.3081,0.2023,0.4420,0.4365
EDMStream,0.1453,47.8862,48.1954,0.0002
SLKMeans,0.1313,0.0000,27.4345,0.0000
G1,0.0002,1.0970,0.2540,0.0001
G2,0.0002,1.1057,0.2603,0.0142
G3,0.0002,1.0985,0.2540,0.0001
G4,0.5797,1.1141,0.3019,0.0000
G5,0.0513,1.3754,0.6666,0.0000
G6,0.0001,0.0537,1.0793,0.0000
G7,0.0001,1.5699,0.6675,0.0001
G8,0.0058,6.0819,6.1287,0.0036
G9,0.0692,0.0000,3.1540,0.0015
G10,0.0612,0.2339,13.4582,0.0030
G11,0.0001,0.4770,0.0520,0.0000
G12,0.0001,0.4837,0.0544,0.0000
G13,0.0002,1.0975,0.2566,0.0001
G14,0.1827,0.0893,0.3042,0.0000
G15,0.0066,0.0952,36.1522,0.0014
DStream,0.1580,0.0000,386.8359,0.0009
