algo,outlier_cap,purity,qps
G3,100,0.627998,58302.3
G3,200,0.704505,46518.4
G3,500,0.81005,35622.3
G3,1000,0.832364,33791.7
G3,2000,0.832364,33161.8
G3,5000,0.832364,33990
G3,10000,0.832364,34100.7
G3,20000,0.832364,33711.4
G3,40000,0.832364,34215.3
G3,60000,0.832364,34340.2
G3,80000,0.832364,33800.5
G3,100000,0.832364,33072.5
G7,100,0.180943,125269
G7,200,0.177494,120651
G7,500,0.261822,121976
G7,1000,0.35032,111860
G7,2000,0.350459,112202
G7,5000,0.350459,112411
G7,10000,0.350459,111034
G7,20000,0.350459,112423
G7,40000,0.350459,112589
G7,60000,0.350459,112038
G7,80000,0.350459,112577
G7,100000,0.350459,112322
