Algorithm,on_20,on_40,on_60,on_80,on_100
Birch,9.42894,18.8611,27.5853,37.161,47.0259
StreamKMeans,9.60205,20.1332,30.5376,41.2292,50.496
CluStream,10.5386,16.2009,21.8841,27.5534,33.2149
DenStream,16.3768,32.8821,49.4175,67.9613,97.7015
DBStream,3.4026,5.71682,7.72431,9.22279,10.9292
EDMStream,23.4242,36.5123,47.6942,60.0437,74.0008
DStream,1.36779,1.74526,2.13754,2.5461,2.92149
SLKMeans,19.9215,39.7204,61.1492,82.7986,103.39
G1,4.28601,7.44475,10.4046,13.8073,16.95
G2,4.25628,7.41341,10.3697,13.7336,16.866
G3,4.27553,7.45186,10.4587,13.8555,16.992
G4,1.79974,2.77415,3.879,5.09571,6.08274
G5,17.4856,49.0622,92.78,151.253,224.171
G6,3.07145,6.85382,10.6784,13.673,16.7328
G7,1.21017,2.56394,4.3678,6.24676,8.07422
G8,9.13297,23.3513,38.6055,55.521,73.6959
G9,0.371163,0.505916,0.581214,0.657357,0.734253
G10,15.7788,47.4991,97.3339,166.303,240.474
