Algorithm,on_20,on_40,on_60,on_80,on_100
Birch,2.10281,3.83346,5.76757,7.63879,9.60773
StreamKMeans,8.78196,17.5461,26.3117,35.0737,43.8657
DenStream,0.561663,0.746305,0.931002,1.11824,1.30316
DBStream,46.4993,95.904,145.299,194.769,244.187
EDMStream,0.965982,1.71984,2.46433,3.21972,3.98858
DStream,1.33764,1.69848,2.02981,2.44791,2.77718
SLKMeans,68.8397,136.921,206.639,276.804,346.47
G1,1.68576,3.90496,6.27243,8.80106,11.573
G2,1.6947,3.9176,6.34925,8.9355,11.7659
G3,1.67393,3.89524,6.26368,8.79378,11.5658
G4,0.508342,1.15777,1.8812,2.66087,3.49388
G5,1.56578,2.81528,4.07826,5.5015,7.00214
G6,2.13036,4.46971,6.81223,9.14704,11.574
G7,0.791169,1.35757,2.14983,2.98342,3.82657
G8,21.0949,84.8061,189.279,333.095,515.491
G9,0.468422,0.614656,0.690003,0.765457,0.839649
G10,11.6546,39.4935,72.2629,113.341,155.508
