Algorithm,on_20,on_40,on_60,on_80,on_100
G1,3.41386,4.28805,5.16469,6.04559,6.94874
G2,3.33623,4.21883,5.09857,5.98904,6.9709
G3,4.2056,5.52053,6.37199,7.45312,8.88232
G4,2.92906,4.08684,5.33373,6.44129,7.64983
G5,4.90405,8.27513,11.8686,15.671,19.6443
G6,8.22259,14.7424,15.7759,20.2853,23.4118
G7,3.9527,5.44685,6.81082,8.24175,10.328
G8,3.4431,4.31074,5.16678,6.403,7.60177
G9,3.33277,4.03925,4.65735,5.34533,6.12203
G10,3.0771,3.72813,4.37931,5.03228,5.68992
G11,4.16414,5.26248,6.14859,7.30172,8.66943
G12,5.85576,8.92812,10.3606,12.5803,15.1563
G13,5.0764,6.79241,7.6397,9.20915,10.755
G14,9.05156,9.43895,9.82342,10.2097,10.5934
G15,6.23055,15.9287,24.2645,33.4197,41.1651
