Algorithm,on_20,on_40,on_60,on_80,on_100
G1,0.678005,1.24907,1.74803,2.26049,2.81218
G2,0.704385,1.29238,1.78933,2.30123,2.85551
G3,0.664829,1.23738,1.736,2.24762,2.79985
G4,0.397462,0.791412,1.12063,1.55831,1.88538
G5,28.9145,73.7168,130.277,207.485,337.715
G6,0.454209,0.901457,1.23767,1.52127,1.8168
G7,0.81464,1.42631,1.98,2.52907,3.12327
G8,0.668551,1.26734,1.75816,2.30258,2.90826
G9,0.616912,1.04448,1.4932,1.96206,2.51182
G10,0.59937,1.59114,2.06748,2.44581,3.10259
G11,0.61627,1.14622,1.56598,1.98586,2.43834
G12,0.650646,1.18933,1.60366,2.0218,2.46082
G13,0.625576,1.14466,1.55969,1.97522,2.4212
G14,41.4585,45.7938,68.082,80.0183,116.227
G15,2.01144,4.0191,5.99746,8.01066,10.0561
