Algorithm,CoverType,KDD99,Sensor,Insects,EDS,ODS
Birch,0.733092,0.991533,0.154232,0.558413,0.890341,0.66681
StreamKMeans,0.500014,0.598914,0.0704423,0.495714,0.677523,0.5891
CluStream,0.487599,0.568377,0.0295923,0.188058,0.00718392,0.0792
DenStream,0.487599,0.568377,0.0295923,0.188058,0.00718392,0.0792
DBStream,0.487599,0.568377,0.0295923,0.188058,0.00718392,0.0792
EDMStream,0.531879,0.983952,0.0782214,0.500077,0.0374934,0.76406
DStream,0.487599,0.568377,0.0295923,0.188058,0.00718392,0.0792
SLKMeans,0.487599,0.568377,0.0295923,0.324655,0.00718392,0.0792
G1,0.495098,0.584526,0.0315136,0.344198,0.0100298,0.09923
G2,0.487599,0.568377,0.0295923,0.188058,0.00718392,0.0792
G3,0.573246,0.899869,0.127707,0.488402,0.832364,0.69741
G4,0.492269,0.670463,0.0598085,0.438189,0.119766,0.66519
G5,0.495572,0.963941,0.112919,0.507848,0.448522,0.72707
G6,0.500716,0.847749,0.0639525,0.48225,0.0683492,0.13739
G7,0.522318,0.879811,0.12417,0.473982,0.261822,0.51996
G8,0.627729,0.939916,0.173964,0.636692,0.971468,0.88279
G9,0.487632,0,0.0347134,0.496094,0.00718392,0.0792
G10,0.682683,0.990458,0.156887,0.525841,0.37281,0.80562
