Algorithm,CoverType,KDD99,Sensor,Insects,EDS,ODS
Birch,7,2,2,1,10,7
StreamKMeans,7,23,55,24,363,363
CluStream,1145,1350,2019,1340,135,2310
DenStream,514,425,384,2,22,21
DBStream,3,17,6,258,2,107
EDMStream,60,304,1120,65,2992,3075
DStream,182,NULL,NULL,8,NULL,NULL
SLKMeans,7,3,1,6,1,1
G1,187,293,893,46,533,406
G2,187,293,893,46,533,406
G3,187,565,893,420,533,406
G4,3,1,1,2,1,1
G5,193,10,164,8,11,38
G6,212,174,616,46,647,414
G7,486,1050,322,591,1134,2218
G8,9,5203,5,181,369,193
G9,59,5022,95,91,1142,23
G10,81,26,19,23,441,1032
G11,204,1776,102,893,638,732
G12,568,4710,733,681,708,2835
G13,1888,3701,636,680,833,2509
G14,193,420,580,16,3799,1918
G15,7,23,49,11,650,275
