algo,num_points,num_res,cluster_size,outlier_size,qps
G3,20000,79,79,0,198222
G3,40000,129,129,0,222096
G3,60000,166,166,0,256265
G3,80000,220,220,0,270449
G3,100000,253,253,0,289599
G3,120000,286,286,0,313546
G3,140000,326,326,0,314494
G3,160000,343,343,0,338767
G3,180000,403,403,0,322275
G3,200000,443,443,0,320499
G3,220000,471,471,0,335089
G3,240000,524,524,0,330316
G4,20000,43,43,0,434246
G4,40000,7,7,0,545355
G4,60000,3,3,0,607907
G4,80000,8,8,0,584849
G4,100000,10,10,0,612788
G4,120000,1,1,0,592146
G4,140000,15,15,0,613940
G4,160000,8,8,0,626640
G4,180000,4,4,0,604720
G4,200000,15,15,0,612921
G4,220000,6,6,0,599028
G4,240000,8,8,0,606009
G5,20000,11,11,0,474600
G5,40000,11,11,0,533282
G5,60000,11,11,0,545797
G5,80000,11,11,0,551338
G5,100000,11,11,0,565069
G5,120000,11,11,0,586600
G5,140000,11,11,0,570484
G5,160000,11,11,0,577577
G5,180000,11,11,0,586011
G5,200000,11,11,0,588012
G5,220000,11,11,0,585910
G5,240000,11,11,0,585366
