Algorithm,1,2,3,4,5
G1,246333,290596,324217,319578,330883
G2,239732,283660,319331,320774,328490
G3,698889,707025,760074,747240,750353
G4,1042270,1144080,1175700,1168580,1180690
G5,534066,589569,568722,601985,595853
G6,431048,488074,496500,491469,483141
G7,500898,522237,530914,535193,530535
G8,981150,977813,1069480,1109270,1102950
G9,1020500,1150130,1132500,1134680,1143950
G10,25893.6,31501.8,32053.7,27271.7,25756.1
G11,244530,285628,323059,322462,334451
G12,246453,276372,279642,274819,275440
G13,247256,278251,279005,272912,273923
G14,11623.9,25303.2,37768,49924.6,60998.8
G15,71726.3,71570.3,71140.8,69431.9,69811.7
