Algorithm,1,2,3
Birch,184814,185065,183682
StreamKMeans,83861.1,84043.3,84347.8
CluStream,7805.95,7931.69,8021.06
DenStream,411574,415745,412020
DBStream,367888,340727,319415
EDMStream,15335,15308.9,14874.5
DStream,32636.1,32444.4,32391.8
SLKMeans,34267.4,34914.9,35594.4
G1,4765.64,3900.12,3504.23
G2,34982.8,29564.1,25214.1
G3,126357,120291,115402
G4,4676.99,4562.51,4417.85
G5,93726.5,90300.9,89841.5
G6,184421,183533,184080
G7,34228.7,33762.7,33360.2
G8,348906,319820,293950
G11,135516,138375,140733
G12,135791,138535,141110
G13,126400,120201,115686
G14,1293860,1305650,1327440
G15,1634770,1590120,1821610
G9,912238,906962,920572
G10,540960,416822,343929
