Algorithm,CoverType,KDD99,Sensor,Insects,EDS,ODS
Birch,61582.5,81068.5,548199,866793,122322,150530
StreamKMeans,24042,30945,74838.8,20594.5,90558,85166.3
CluStream,219092,415694,471495,225564,11289.7,8355.52
DenStream,9275.51,16553.1,44070.4,698987,453019,417032
DBStream,83420.7,250781,58013.1,882.021,702432,319841
EDMStream,234181,371110,45093.5,312654,14331.9,14854.6
DStream,922.152,518225,10258.7,210082,NULL,10767.1
SLKMeans,15393.1,1123.41,78818.6,9713.69,5242.68,35586.4
G1,244236,582171,1392130,846350,664382,455564
G2,241763,669200,1406280,876940,668952,459107
G3,242821,669619,1418330,853213,664493,457473
G5,849742,408140,1389570,224506,1311960,1306680
G6,217970,696980,1089970,871286,449896,296720
G7,182892,495690,712035,313866,535178,274556
G8,843835,716626,57298.3,768514,1346990,1171090
G9,545962,813946,884763,868779,1376600,921340
G10,787459,569517,1256860,852096,516932,339620
G11,247497,668912,1310120,889951,658307,451124
G12,228637,606687,892150,686106,673141,446748
G13,230761,645494,880602,688313,472673,283603
G14,904498,1232990,1974940,1138150,61230.3,53156.1
G15,95044.3,112824,220703,121754,69835.9,74485.7
G4,187507,432981,681657,265779,NULL,NULL
