Algorithm,WindowModel,OutlierDetection,DataStructure,OfflineRefinement
Birch,0.0000,0.0135,2.1545,0.0000
StreamKMeans,0.0000,0.0000,24.4168,0.0018
CluStream,0.0000,0.0000,20.1782,2.7441
DenStream,0.4070,2.4725,54.3043,0.0498
DBStream,6.1873,0.0290,0.3615,0.0001
EDMStream,0.0371,2.0652,2.1381,0.0000
DStream,0.0113,0.0000,118.2497,0.0000
SLKMeans,0.6726,0.0000,36.8755,0.0003
G1,0.0001,4.2601,4.2961,0.0000
G2,0.0001,4.2874,4.3049,0.0071
G3,0.0001,4.2505,4.2728,0.0000
G4,0.2019,2.4637,2.4659,0.0000
G5,0.0192,21.3168,0.3197,0.0001
G6,0.0001,0.0211,9.9592,0.0000
G7,0.0003,0.0482,2.4980,0.0001
G8,0.0000,0.2224,0.9399,0.0000
G9,0.0146,0.0000,0.5984,0.0000
G10,0.0167,0.0502,2.4874,0.0000
G11,0.0001,5.0138,4.9828,0.0000
G12,0.0002,9.4654,9.5120,0.0001
G13,0.0008,7.3138,7.3812,0.0002
G14,0.0422,0.0244,5.9012,0.0000
G15,0.0000,0.0239,5.0528,0.0000
