Algorithm,WindowModel,OutlierDetection,DataStructure,OfflineRefinement
Birch,0.0000,0.0223,0.2745,0.0000
StreamKMeans,0.0000,0.0000,44.2453,0.0071
CluStream,0.0000,0.0000,42.3738,2.4189
DenStream,0.4348,0.8892,3.6861,0.0002
DBStream,225.8690,9.8599,3.6198,779.3564
EDMStream,0.0585,2.1383,2.2513,0.0000
DStream,0.0112,0.0000,42.8662,0.0000
SLKMeans,1.0326,0.0000,91.9637,0.0008
G1,0.0001,0.5241,0.5622,0.0001
G2,0.0001,0.5185,0.5611,0.0240
G3,0.0001,0.5202,0.5711,0.0000
G4,0.2392,0.2467,0.2893,0.0000
G5,0.0214,0.7334,0.7742,0.0000
G6,0.0000,0.0218,0.3147,0.0000
G7,0.0002,1.6128,0.1564,0.0001
G8,0.0002,0.2446,0.2669,0.0000
G9,0.0231,0.0000,0.3730,0.0000
G10,0.0260,0.0480,0.3587,0.0000
G11,0.0001,0.8717,0.9240,0.0000
G12,0.0003,1.3562,1.3817,0.0001
G13,0.0003,1.3570,1.3817,0.0001
G14,0.0003,0.0386,1.4894,0.0000
G15,0.0000,0.0372,5.4520,0.0000
