algo,workload,run_offline,purity,qps
DenStream,CoverType,0,0.548178,9338.9
DenStream,CoverType,1,0.548178,9321.54
DenStream,INSECTS,0,0.51571,149198
DenStream,INSECTS,1,0.51571,149296
DenStream,KDD99_F,0,0.969101,16394.2
DenStream,KDD99_F,1,0.969101,16408.1
DenStream,sensor,0,0.0638467,44021
DenStream,sensor,1,0.0638467,44109.9
StreamKMeans,CoverType,0,0.489109,23593.8
StreamKMeans,CoverType,1,0.489109,23582.2
StreamKMeans,INSECTS,0,0.488874,20326.9
StreamKMeans,INSECTS,1,0.488874,20315.8
StreamKMeans,KDD99_F,0,0.581972,30565.5
StreamKMeans,KDD99_F,1,0.581972,30570.3
StreamKMeans,sensor,0,0.0693233,76995.7
StreamKMeans,sensor,1,0.0693233,76946.9
