algo,outlier_cap,purity,qps
G3,100,0.907168,869994
G3,200,0.852685,926740
G3,500,0.812011,910663
G3,1000,0.812011,893916
G3,2000,0.812011,912798
G3,5000,0.812011,914312
G3,10000,0.812011,913611
G3,20000,0.812011,892572
G3,40000,0.812011,913075
G3,60000,0.812011,893754
G3,80000,0.812011,933748
G3,100000,0.812011,918892
G7,100,0.892404,697855
G7,200,0.905447,842677
G7,500,0.898035,837474
G7,1000,0.898023,857109
G7,2000,0.898023,862350
G7,5000,0.898023,853259
G7,10000,0.898023,867504
G7,20000,0.898023,846730
G7,40000,0.898023,592990
G7,60000,0.898023,861868
G7,80000,0.898023,858739
G7,100000,0.898023,847664
