Algorithm,on_20,on_40,on_60,on_80,on_100
Birch,0.615556,0.726092,0.831353,0.936254,1.0412
StreamKMeans,8.91349,17.8178,26.7205,35.6302,44.5431
CluStream,10.7856,19.3376,27.8858,36.4137,44.9525
DenStream,1.33503,2.50975,3.6924,4.88279,6.07515
DBStream,46.0906,95.0294,144.118,193.254,242.368
EDMStream,0.773606,1.30296,1.82294,2.35121,2.8741
DStream,0.741692,1.53718,2.70819,4.33983,6.42897
SLKMeans,18.6828,37.3533,55.9286,74.5691,93.2951
G1,0.647724,0.901163,1.1744,1.43456,1.69755
G2,0.647912,0.900099,1.17232,1.43217,1.69451
G3,0.645059,0.900793,1.17545,1.43843,1.70584
G4,0.601341,0.82379,1.04964,1.28257,1.51429
G5,0.632678,0.911711,1.27169,1.70136,2.18342
G6,0.611528,0.726287,0.840672,0.954184,1.06746
G7,0.826198,1.33392,1.83538,2.35464,2.86198
G8,0.574035,0.723246,0.872256,1.02125,1.17312
G9,0.562523,0.682621,0.802795,0.922529,1.04257
G10,0.563409,0.682437,0.801763,0.920744,1.04074
G11,0.767537,1.17865,1.58664,1.99545,2.39304
G12,0.877712,1.47538,2.05503,2.64665,3.26079
G13,0.875168,1.46841,2.04309,2.63358,3.24116
G14,0.707459,1.05251,1.40038,1.74719,2.10636
G15,1.18929,2.33947,3.46534,4.58758,5.71016
