Algorithm,on_20,on_40,on_60,on_80,on_100
Birch,6.5115,9.60893,10.2105,12.0998,14.5387
StreamKMeans,48.5105,77.4962,93.2051,126.148,162.643
CluStream,53.2508,100.85,148.526,196.305,244.182
DenStream,49.0518,107.303,167.611,230.262,296.244
DBStream,9.31264,12.5128,13.33,15.2388,19.1597
EDMStream,7.20767,9.21791,9.87904,10.9476,12.9692
DStream,6.28295,7.92406,8.56608,9.4646,11.4276
SLKMeans,416.136,1070.34,2368.33,3521.01,4397.54
G1,4.2957,5.65581,6.53866,8.09614,9.93727
G2,4.34074,5.65813,6.51595,7.56696,8.87997
G3,4.26388,5.57192,6.42742,7.46839,8.77108
G4,2.75519,3.87663,5.08953,6.16616,7.25087
G5,4.8746,8.24414,11.8228,15.6028,19.5498
G6,6.87413,11.3738,12.4805,16.8458,19.9478
G7,3.88674,5.37838,6.7414,8.17117,9.62886
G8,3.49229,4.51388,5.37012,6.32122,7.37127
G9,3.08942,3.78438,4.39077,5.06879,5.7961
G10,3.10076,3.75198,4.40771,5.06142,5.71853
G11,3.8463,4.96683,5.81028,6.76569,7.98507
G12,4.45136,5.85497,6.71853,7.82693,9.62049
G13,4.65372,6.09727,6.95008,8.08458,9.56156
G14,9.24526,9.62596,10.0996,10.5765,11.0535
G15,6.25118,15.999,24.2896,33.3454,41.1163
