Algorithm,on_20,on_40,on_60,on_80,on_100
Birch,0.750138,1.4803,2.25731,3.06166,4.04787
StreamKMeans,5.67835,11.3723,17.1945,23.0752,28.8631
CluStream,5.59841,11.0455,16.4531,21.8772,27.3138
DenStream,10.1019,20.1909,30.2544,40.3157,50.3902
DBStream,6.61132,12.8363,17.8047,23.9048,37.8534
EDMStream,9.62864,19.4202,28.0546,37.31,49.1701
DStream,0.85756,2.01034,3.47779,5.56953,8.35852
SLKMeans,5.74415,11.1111,17.1135,22.8145,28.0885
G1,0.734292,1.329,1.8252,2.33719,2.88816
G2,0.70015,1.28424,1.78645,2.30081,2.85896
G3,0.683305,1.26276,1.7604,2.27157,2.82437
G4,0.396342,0.784864,1.11821,1.53916,1.86661
G5,4.19092,10.3511,18.0889,27.8638,40.6015
G6,0.449316,0.892901,1.23655,1.51966,1.81671
G7,0.87027,1.48498,2.04076,2.58661,3.17968
G8,0.665035,1.2138,1.73852,2.21237,2.79172
G9,0.594253,1.01218,1.45507,1.9142,2.45215
G10,0.7343,1.32503,1.83981,2.35616,2.72521
G11,0.817447,1.45193,2.05424,2.67746,3.52108
G12,0.925609,1.69784,2.41225,3.18777,4.29285
G13,0.951687,1.77606,2.57296,3.41807,4.64058
G14,41.3665,45.6935,67.8909,79.7494,115.793
G15,2.01522,4.03742,6.02353,8.03404,10.0721
