algo,num_points,num_res,cluster_size,outlier_size,qps
G3,20000,79,79,0,191871
G3,40000,129,129,0,222005
G3,60000,166,166,0,248346
G3,80000,220,220,0,269520
G3,100000,253,253,0,288058
G3,120000,286,286,0,306922
G3,140000,326,326,0,313065
G3,160000,343,343,0,336954
G3,180000,403,403,0,317096
G3,200000,443,443,0,318594
G3,220000,471,471,0,332114
G3,240000,524,524,0,329445
G4,20000,43,43,0,433000
G4,40000,7,7,0,537181
G4,60000,3,3,0,575037
G4,80000,8,8,0,578250
G4,100000,10,10,0,599813
G4,120000,1,1,0,610905
G4,140000,15,15,0,603115
G4,160000,8,8,0,621658
G4,180000,4,4,0,605811
G4,200000,15,15,0,606686
G4,220000,6,6,0,602882
G4,240000,8,8,0,595162
G5,20000,11,11,0,500513
G5,40000,11,11,0,521146
G5,60000,11,11,0,531055
G5,80000,11,11,0,544899
G5,100000,11,11,0,563851
G5,120000,11,11,0,570407
G5,140000,11,11,0,578802
G5,160000,11,11,0,580447
G5,180000,11,11,0,586239
G5,200000,11,11,0,585313
G5,220000,11,11,0,592369
G5,240000,11,11,0,585691
