Algorithm,CoverType,KDD99,Sensor,Insects,EDS,ODS
Birch,234011,336923,548385,869312,122747,149253
StreamKMeans,23582.4,30114,76892,20317.4,91456.1,85426.9
CluStream,25090.5,20052,81245.5,20066.8,11057.9,8042.77
DenStream,9332.29,16533.6,44049.7,148987,456960,419300
DBStream,83321.5,255634,57970.6,885.898,707305,322938
EDMStream,235362,377695,45145.2,314928,14462.1,15267
DStream,32943.7,428646,265573,140790,194024,36725.8
SLKMeans,15377.6,1113.9,79028.6,9701.76,5237.29,35652.6
G1,65312.7,492897,768559,533183,331999,177643
G2,64987.2,548506,771634,526705,330478,176612
G3,65569.3,558470,785919,530596,729726,297113
G4,105218,675562,1189200,597723,1204150,1161910
G5,26432.6,250561,54672.8,414547,582754,230834
G6,56242,245561,1221840,847928,303068,210924
G7,182075,508717,698098,316257,529653,270888
G8,351641,664525,795131,771542,1102320,774321
G9,544498,845048,905239,868171,1162860,1133290
G10,240758,856586,814538,869696,896647,56438.9
G11,56262.7,613446,630420,378232,522827,205457
G12,30119.3,509025,517075,277578,275148,166752
G13,38606.9,512292,478333,279259,223449,128618
G14,93714,443156,19170.5,429715,60843.2,52855
G15,111143,119136,220390,158514,69585.5,73887.9
